   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.002    0.001    0.002    0.001 {_ctypes.dlopen}
        1    0.000    0.000    0.002    0.002 utils.py:5(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:439(LoadLibrary)
       76    0.000    0.000    0.002    0.000 posixpath.py:380(_joinrealpath)
        1    0.002    0.002    0.002    0.002 {function seed at 0x7f77697ab9b0}
      273    0.001    0.000    0.002    0.000 function_base.py:3944(add_newdoc)
     3906    0.001    0.000    0.002    0.000 sre_parse.py:206(match)
      107    0.000    0.000    0.002    0.000 pyparsing.py:828(copy)
    50/10    0.000    0.000    0.002    0.000 pyparsing.py:2692(streamline)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
        1    0.000    0.000    0.001    0.001 RLPong_Theano.py:25(<dictcomp>)
        1    0.001    0.001    0.001    0.001 index_tricks.py:1(<module>)
      107    0.000    0.000    0.001    0.000 copy.py:66(copy)
        1    0.000    0.000    0.001    0.001 RLPong_Theano.py:24(<dictcomp>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3517(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3488(_makeTags)
        1    0.000    0.000    0.001    0.001 resource.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
     1204    0.001    0.000    0.001    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
    152/3    0.000    0.000    0.001    0.000 pyparsing.py:969(_parseNoCache)
     2408    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     22/3    0.000    0.000    0.001    0.000 pyparsing.py:2392(parseImpl)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
     1734    0.001    0.000    0.001    0.000 {range}
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
     1207    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 api_requestor.py:1(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:3404(srange)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
        6    0.000    0.000    0.001    0.000 pyparsing.py:3047(__init__)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
     11/5    0.000    0.000    0.001    0.000 pyparsing.py:2673(leaveWhitespace)
     2497    0.001    0.000    0.001    0.000 {min}
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
      140    0.000    0.000    0.001    0.000 __init__.py:738(add)
     2814    0.001    0.000    0.001    0.000 {hasattr}
  634/570    0.000    0.000    0.001    0.000 pyparsing.py:112(_ustr)
     1207    0.001    0.000    0.001    0.000 {method 'from_address' of '_ctypes.PyCArrayType' objects}
        1    0.000    0.000    0.001    0.001 urllib.py:23(<module>)
     2200    0.001    0.000    0.001    0.000 {getattr}
    25/15    0.000    0.000    0.001    0.000 pyparsing.py:2368(copy)
        1    0.000    0.000    0.001    0.001 models.py:8(<module>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:76(_determine_error_states)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:2521(parseImpl)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:2984(streamline)
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
        2    0.000    0.000    0.001    0.000 numeric.py:2576(seterr)
        1    0.000    0.000    0.001    0.001 numeric.py:2967(__enter__)
      141    0.000    0.000    0.001    0.000 __init__.py:1379(safe_name)
        2    0.001    0.000    0.001    0.000 numeric.py:2676(geterr)
        1    0.000    0.000    0.001    0.001 specifiers.py:214(LegacySpecifier)
        1    0.000    0.000    0.001    0.001 subprocess.py:387(<module>)
    24/10    0.000    0.000    0.001    0.000 pyparsing.py:2667(parseImpl)
        1    0.001    0.001    0.001    0.001 seeding.py:24(np_random)
        1    0.001    0.001    0.001    0.001 core.py:2642(MaskedArray)
       20    0.001    0.000    0.001    0.000 {posix.listdir}
      343    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      386    0.000    0.000    0.001    0.000 posixpath.py:132(islink)
      164    0.000    0.000    0.001    0.000 version.py:236(__str__)
      141    0.000    0.000    0.001    0.000 re.py:148(sub)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.001    0.001    0.001    0.001 box.py:14(__init__)
       16    0.000    0.000    0.001    0.000 __init__.py:1873(get_metadata_lines)
     1835    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
       92    0.000    0.000    0.001    0.000 pyparsing.py:2266(__init__)
      164    0.001    0.000    0.001    0.000 version.py:343(_cmpkey)
        3    0.000    0.000    0.001    0.000 util.py:1(<module>)
      107    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
      455    0.000    0.000    0.001    0.000 sre_compile.py:428(_simple)
       16    0.000    0.000    0.001    0.000 __init__.py:1860(get_metadata)
       20    0.000    0.000    0.001    0.000 __init__.py:1567(getLogger)
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.001    0.001 urllib2.py:76(<module>)
    40/24    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 box.py:1(<module>)
     1204    0.001    0.000    0.001    0.000 monitor.py:219(_before_step)
        1    0.000    0.000    0.001    0.001 url.py:1(<module>)
     2176    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
      160    0.000    0.000    0.001    0.000 genericpath.py:46(isdir)
        1    0.000    0.000    0.001    0.001 version.py:63(StrictVersion)
